日付,注文商品売上,注文商品売上-B2B,注文された商品点数,注文された商品点数 - B2B,注文品目総数,注文品目総数 - B2B,返金されたユニット,返金率,受け取った評価,受け取った低評価,受け取った低評価の割合,承認済みのAmazonマーケットプレイス保証申請,請求額
2022/09/28,"￥32,928",￥0,25,0,24,0,0,0.00%,0,0,0.00%,0,￥0
2022/09/29,"￥22,166",￥0,20,0,20,0,1,5.00%,0,0,0.00%,0,￥0
2022/09/30,"￥12,678",￥0,11,0,11,0,3,27.27%,1,0,0.00%,0,￥0
2022/10/01,"￥46,130",￥0,28,0,26,0,1,3.57%,0,0,0.00%,0,￥0
2022/10/02,"￥48,766",￥0,32,0,31,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/03,"￥54,148","￥1,436",33,2,31,2,0,0.00%,0,0,0.00%,0,￥0
2022/10/04,"￥84,101",￥0,56,0,53,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/05,"￥64,442",￥0,37,0,37,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/06,"￥55,532",￥0,38,0,36,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/07,"￥67,110",￥0,38,0,37,0,1,2.63%,0,0,0.00%,0,￥0
2022/10/08,"￥60,366",￥0,34,0,30,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/09,"￥51,214",￥0,33,0,33,0,2,6.06%,0,0,0.00%,0,￥0
2022/10/10,"￥69,392",￥0,69,0,68,0,2,2.90%,0,0,0.00%,0,￥0
2022/10/11,"￥66,206",￥718,43,1,40,1,0,0.00%,0,0,0.00%,0,￥0
2022/10/12,"￥48,630","￥4,016",28,3,28,3,0,0.00%,0,0,0.00%,0,￥0
2022/10/13,"￥45,785",￥0,31,0,28,0,0,0.00%,1,0,0.00%,0,￥0
2022/10/14,"￥61,090","￥2,580",41,1,35,1,1,2.44%,0,0,0.00%,0,￥0
2022/10/15,"￥29,094",￥0,20,0,20,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/16,"￥38,192",￥0,26,0,25,0,1,3.85%,0,0,0.00%,0,￥0
2022/10/17,"￥34,696",￥0,22,0,22,0,2,9.09%,0,0,0.00%,0,￥0
2022/10/18,"￥37,666",￥0,20,0,20,0,1,5.00%,0,0,0.00%,0,￥0
2022/10/19,"￥37,152",￥0,36,0,35,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/20,"￥30,350",￥0,27,0,27,0,0,0.00%,1,0,0.00%,0,￥0
2022/10/21,"￥28,126",￥0,18,0,18,0,2,11.11%,0,0,0.00%,0,￥0
2022/10/22,"￥27,092",￥0,17,0,17,0,2,11.76%,0,0,0.00%,0,￥0
2022/10/23,"￥39,396",￥0,30,0,30,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/24,"￥32,237",￥718,25,1,25,1,0,0.00%,0,0,0.00%,0,￥0
2022/10/25,"￥44,682",￥0,43,0,42,0,1,2.33%,1,1,100.00%,0,￥0
2022/10/26,"￥39,665",￥0,40,0,39,0,1,2.50%,0,0,0.00%,0,￥0
2022/10/27,"￥26,364",￥0,27,0,27,0,0,0.00%,0,0,0.00%,0,￥0
2022/10/28,"￥28,703",￥0,22,0,22,0,0,0.00%,0,0,0.00%,0,￥0
