(親) ASIN,(子) ASIN,タイトル,SKU,セッション - 合計,セッション-合計-B2B,セッション率 - 合計,セッション率 - 合計ーB2B,ページビュー - 合計,ページビュー数-合計-B2B,ページビュー率 - 合計,ページビュー率 - 合計‐B2B,おすすめ商品(ショッピングカートボックス)の割合,おすすめ商品(ショッピングカートボックス)の割合 - B2B,注文された商品点数,注文された商品点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品売上,注文商品売上-B2B,注文品目総数,注文品目総数 - B2B
B09FZTBV6J,B07C7NS57M,【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック),JQ-MLRE-AH9L,"2,314",8,14.96%,14.81%,"3,806",12,17.97%,17.91%,28.59%,16.67%,137,1,5.92%,12.50%,"￥74,020",￥718,119,1
B09FZTBV6J,B07C7JX67Y,【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト),97-W48L-K89A,592,4,3.83%,7.41%,875,6,4.13%,8.96%,99.77%,100.00%,53,3,8.95%,75.00%,"￥38,054","￥2,154",49,3
B07RSL5RBW,B07RNDQ5S7,【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L),8Q-VTYS-YQ5Z,211,1,1.36%,1.85%,254,1,1.20%,1.49%,100.00%,100.00%,37,0,17.54%,0.00%,"￥58,316",￥0,36,0
B0BDGD2NLC,B0BDGHRHQY,【Smart-Bear】E013 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 〇型 丸型 全6色 2点セット (シルバー),ME-ETAE-GQNM,245,0,1.58%,0.00%,390,0,1.84%,0.00%,98.72%,0.00%,27,0,11.02%,0.00%,"￥13,446",￥0,27,0
B07RNDNKNW,B07RRJ3RVV,【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S),91-7A3K-7U8I,238,0,1.54%,0.00%,297,0,1.40%,0.00%,91.58%,0.00%,26,0,10.92%,0.00%,"￥35,880",￥0,26,0
B07RNDNKNW,B07RNDMDMY,【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M),NR-5Z4P-2YBS,140,0,0.91%,0.00%,202,0,0.95%,0.00%,99.01%,0.00%,23,0,16.43%,0.00%,"￥31,615",￥0,23,0
B09MJJXLC1,B077WKV76K,"【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)",O6-48G1-BEO9,252,1,1.63%,1.85%,471,1,2.22%,1.49%,98.30%,100.00%,22,0,8.73%,0.00%,"￥28,160",￥0,22,0
B08T8G1TXB,B0782N7XDJ,"【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)",FK-SQOE-Y997,164,1,1.06%,1.85%,224,1,1.06%,1.49%,98.21%,100.00%,22,0,13.41%,0.00%,"￥39,160",￥0,22,0
B09FZTBV6J,B09P8SVSXS,【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットA),N7-DJHE-BRRC,387,2,2.50%,3.70%,522,2,2.46%,2.99%,68.39%,50.00%,20,0,5.17%,0.00%,"￥16,278",￥0,20,0
B07RSL5RBW,B07RRJ5TNV,【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M),C8-VY3A-HL06,95,0,0.61%,0.00%,116,0,0.55%,0.00%,98.28%,0.00%,19,0,20.00%,0.00%,"￥30,020",￥0,19,0
