"返品日","注文番号","出品者SKU","ASIN","FNSKU","商品名","数量","FC","商品の状態","理由","lpn","お客様のコメント"
"2022-10-25T15:21:00+09:00","250-1563011-9410207","AF-0BOJ-58FU","B07RP5RVVV","X000RJ3N49","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS075539278",
"2022-10-22T16:40:30+09:00","503-7618901-6014260","AM-5SQ0-118U","B08B1SCB4C","X000UYJ7QT","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","欠陥品・不良品","LPNOS074793385","本日は届きましたがデザインが靴に汚れている箇所あってまたラベル付いてないため、申し訳ないですが返品させていただきます。よろしくお願い致します。"
"2022-10-21T12:02:49+09:00","250-5670856-8280617","AF-0BOJ-58FU","B07RP5RVVV","X000RJ3N49","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","KIX4","欠陥品・不良品","欠陥品・不良品","LPNOS080423353","チャックがしまらない。 ジッパーを上に上げても閉じない"
"2022-10-18T15:25:33+09:00","250-2412375-8274269","JQ-MLRE-AH9L","B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","NRT5","販売可","受取人不明のため配送不可","LPNOS075444236",
"2022-10-17T11:20:53+09:00","503-3975113-6480605","JQ-MLRE-AH9L","B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","服のスタイルが好みに合わなかった","LPNOS080486977","品質が良くない"
"2022-10-16T14:45:40+09:00","250-2146343-6883809","HU-4C3A-YQ59","B07RN3T64S","X000RKIE15","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","KIX4","販売可","受取人不明のため配送不可","LPNOS075101478",
"2022-10-10T16:48:06+09:00","503-8543890-1268632","PK-LF7F-7NQF","B077VTPBC2","X000R151B5","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ","1","KIX4","販売可","注文間違い","LPNOS075167171","間違えました"
"2022-10-10T14:34:46+09:00","250-8988647-3496612","SE-6APE-EDI4","B0782VLBQ7","X000WRDPNZ","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS075286842","表示を参考に選んだが着丈が長かった。"
"2022-10-09T16:14:14+09:00","249-8644386-5733404","22-BGZI-G4D5","B0782YMNPM","X000WRDOQN","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)","1","NRT5","販売可","受取人不明のため配送不可","LPNOS074789401",
"2022-10-09T16:14:14+09:00","249-8644386-5733404","FC-5PIA-1JUZ","B098DWYX41","X000Y4RKFP","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XL)","1","NRT5","販売可","受取人不明のため配送不可","LPNOS074789402",
