"依頼日","依頼番号","依頼のタイプ","依頼のステータス","更新日","出品者SKU","FNSKU","商品のステータス","依頼した数","キャンセルした数","廃棄した数","発送した数","処理中の数","返送/廃棄手数料","通貨"
"2022-09-24T09:38:16+09:00","220924QRE","返送","完了","2022-09-30T19:35:02+09:00","F4-DJYL-ZFI7","X000RKIE0V","販売不可","1","0",,"1","0","45.00","JPY"
"2022-09-24T09:38:16+09:00","220924QRE","返送","完了","2022-09-30T19:35:02+09:00","HI-AN83-A4ZL","X000UXXD15","販売不可","1","0",,"1","0","60.00","JPY"
"2022-09-24T09:38:16+09:00","220924QRE","返送","完了","2022-09-30T19:35:02+09:00","O6-48G1-BEO9","X000YPEU5R","販売不可","2","0",,"2","0","60.00","JPY"
"2022-09-24T09:38:16+09:00","220924QRE","返送","完了","2022-09-30T19:35:02+09:00","JC-9CLM-Q8BL","X000YPEVHT","販売不可","1","0",,"1","0","140.00","JPY"
"2022-09-24T05:50:19+09:00","xm9nkOg412","処分","キャンセルされました","2022-10-01T06:40:53+09:00","O6-48G1-BEO9","X000YPEU5R","販売不可","1","1","0",,"0",,
"2022-08-15T19:39:16+09:00","2208151IKU","返送","完了","2022-08-26T21:12:07+09:00","8Q-VTYS-YQ5Z","X000RMJ4KD","販売不可","1","0",,"1","0","30.00","JPY"
"2022-08-15T19:39:16+09:00","2208151IKU","返送","完了","2022-08-26T21:12:07+09:00","JC-9CLM-Q8BL","X000YPEVHT","販売不可","1","0",,"1","0","140.00","JPY"
"2022-08-15T19:39:16+09:00","2208151IKU","返送","完了","2022-08-26T21:12:07+09:00","6H-040M-0Z6H","X000YPFS2V","販売不可","1","0",,"1","0","30.00","JPY"
"2022-08-15T19:39:16+09:00","2208151IKU","返送","完了","2022-08-26T21:12:07+09:00","IR-I1X3-ET6M","X000YPFV3R","販売不可","1","0",,"1","0","30.00","JPY"
"2022-08-15T05:55:49+09:00","220815GFY","返送","完了","2022-08-27T07:28:57+09:00","4W-MBIG-SNSS","X000YPF9HZ","販売可","4","0",,"4","0","180.00","JPY"
"2022-08-15T05:55:49+09:00","220815GFY","返送","完了","2022-08-27T07:28:57+09:00","A3-AIYT-1RLD","X000YPFK0L","販売可","3","0",,"3","0","135.00","JPY"
"2022-08-15T05:55:49+09:00","220815GFY","返送","完了","2022-08-27T07:28:57+09:00","TF-2OKT-36TG","X000YPFKG5","販売可","2","0",,"2","0","60.00","JPY"
"2022-08-15T05:55:49+09:00","220815GFY","返送","完了","2022-08-27T07:28:57+09:00","BQ-4KCB-Q3G7","X000YPFUFV","販売可","2","0",,"2","0","60.00","JPY"
"2022-07-17T23:43:28+09:00","2207171TVW","返送","完了","2022-07-21T13:06:28+09:00","7L-VIH8-AFE4","X001115Y1R","販売可","2","0",,"2","0","0.00","JPY"
"2022-07-17T23:43:28+09:00","2207171TVW","返送","完了","2022-07-21T13:06:28+09:00","57-5UCM-3YDR","X00111636H","販売可","1","0",,"1","0","0.00","JPY"
"2022-07-09T05:40:23+09:00","xm78kE4429","処分","完了","2022-07-27T23:53:54+09:00","DT-RMBK-MVUT","X000ROSL5F","販売不可","1","0","1",,"0","45.00","JPY"
"2022-07-02T05:45:00+09:00","xm71kIi521","処分","完了","2022-07-27T20:02:11+09:00","FK-SQOE-Y997","X000WRDZ6R","販売不可","1","0","1",,"0","45.00","JPY"
"2022-07-02T05:45:00+09:00","xm71kIi521","処分","完了","2022-07-27T20:02:11+09:00","O6-48G1-BEO9","X000YPEU5R","販売不可","1","0","1",,"0","30.00","JPY"
