"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2023/06/01 9:12:40 JST","11421902143","注文","249-8709831-5068610","BT-GNOC-X8Y0","[Smart-Bear] W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XL)","1","amazon.jp","Amazon","","徳島県","770-0061","","1,556.00","124.00","0","0","0","0","-17.00","0","0","0","-220.00","-434.00","0","0","1,009.00"
"2023/06/01 9:50:54 JST","11421902143","注文","250-2975167-8831023","G5-83U4-1ZXA","【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ","1","amazon.jp","Amazon","","神奈川県","235-0023","","2,296.00","184.00","0","0","0","0","-25.00","0","0","0","-325.00","-318.00","0","0","1,812.00"
"2023/06/01 10:48:27 JST","11421902143","注文","249-0323366-6807835","6R-P7SR-5Z4X","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ト?","1","amazon.jp","Amazon","","沖縄県","901-2133","","1,833.00","147.00","0","0","0","0","-20.00","0","0","0","-259.00","-318.00","0","0","1,383.00"
"2023/06/01 11:07:16 JST","11421902143","注文","503-3754607-6910241","8Q-VTYS-YQ5Z","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","amazon.jp","Amazon","","神奈川県","238-0032","","1,463.00","117.00","0","0","0","0","-16.00","0","0","0","-207.00","-434.00","0","0","923.00"
"2023/06/01 11:09:09 JST","11421902143","注文","250-7347511-2157405","EC-FOVX-FOBJ","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","Tokyo-to","156-0054","","665.00","53.00","0","0","0","0","-7.00","0","0","0","-94.00","-220.00","0","0","397.00"
"2023/06/01 12:23:14 JST","11421902143","注文","249-2169084-1311820","6H-040M-0Z6H","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","Ibaraki-ken","305-0863","","1,185.00","95.00","0","0","0","0","-13.00","0","0","0","-627.00","0","0","0","640.00"
"2023/06/01 13:31:15 JST","11421902143","注文","249-9650817-6979058","94-5N7D-MKR8","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XXL)","1","amazon.jp","Amazon","","埼玉県","340-0202","","1,833.00","147.00","0","0","0","0","-20.00","-91.00","-7.00","0","-245.00","-465.00","0","0","1,152.00"
"2023/06/01 13:31:15 JST","11421902143","注文","249-9650817-6979058","HB-E5PD-U2WL","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)","1","amazon.jp","Amazon","","埼玉県","340-0202","","1,648.00","132.00","0","0","0","0","-18.00","-83.00","-7.00","0","-221.00","-318.00","0","0","1,133.00"
"2023/06/01 13:44:23 JST","11421902143","注文","503-7633219-5983817","C8-VY3A-HL06","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","1","amazon.jp","Amazon","","三重県","515-2404","","1,463.00","117.00","0","0","0","0","-16.00","0","0","0","-207.00","-434.00","0","0","923.00"
"2023/06/01 15:17:38 JST","11421902143","注文","249-0306761-7944643","MH-OWU7-QZ6B","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホ?","1","amazon.jp","Amazon","","兵庫県","654-0155","","1,370.00","110.00","0","0","0","0","-15.00","0","0","0","-194.00","-485.00","0","0","786.00"
