amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-8882623-2691852	503-8882623-2691852	2023-02-25T21:58:41+09:00	2023-02-25T22:02:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W601 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ 	JF-8TCP-BT89	B0BNGCXRN7	Unshipped	1	JPY	1780.0									兵庫県	651-1303	JP	
503-2394196-8912653	503-2394196-8912653	2023-02-25T21:47:01+09:00	2023-02-25T21:52:47+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W601 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ 	JF-8TCP-BT89	B0BNGCXRN7	Cancelled	0											兵庫県	651-1303	JP	
503-9238408-0870224	503-9238408-0870224	2023-02-25T20:44:39+09:00	2023-02-25T20:44:43+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊	LV-LGP7-RH5F	B07RQ5TWY8	Unshipped	1	JPY	2180.0									大阪府	562-0005	JP	
503-5077585-4010248	503-5077585-4010248	2023-02-25T20:17:02+09:00	2023-02-25T20:17:06+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	M9-RIG5-DRKF	B07SV1BD6S	Unshipped	1	JPY	1480.0									愛知県	464-0833	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-9056935-9884628	249-9056935-9884628	2023-02-25T18:37:37+09:00	2023-02-25T18:37:43+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー 	EO-0LNC-NHMG	B09NJD697S	Unshipped	1	JPY	2580.0									福岡県	836-0814	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-1824915-0707025	503-1824915-0707025	2023-02-25T18:15:50+09:00	2023-02-25T18:15:55+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Unshipped	1	JPY	1580.0									埼玉県	354-0016	JP	
503-9051381-4748656	503-9051381-4748656	2023-02-25T16:47:05+09:00	2023-02-25T16:47:13+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Unshipped	1	JPY	1380.0									東京都	114-0002	JP	
250-4016909-5185467		2023-02-25T14:36:01+09:00	2023-02-25T14:42:24+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A134 ファーウェイ Huawei P10/Huawei P10 lite/Huawei P10 Plus/honor 9対応 ケース 透明 クリアケース スマホケース 高機能 シリコン 超薄型 0.8mm 超軽量 防指紋 耐衝撃 (P10)	T0-GEBV-U0AN	B07F867MKG	Unshipped	1	JPY	298.0	27.0								大阪府	565-0841	JP	
249-6299323-8220657	249-6299323-8220657	2023-02-25T13:56:12+09:00	2023-02-25T13:56:18+09:00	Pending	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M	Unshipped	1	JPY	718.0									長野県	386-0022	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-1954475-8159828	503-1954475-8159828	2023-02-25T12:50:13+09:00	2023-02-25T12:50:17+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Unshipped	1	JPY	1580.0									東京都	158-0084	JP	
503-5046483-3950224		2023-02-25T09:40:37+09:00	2023-02-25T09:46:37+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	Unshipped	1	JPY	1280.0	116.0								Tokyo-to	104-0052	JP	
