納品番号	FBA15DDVKGKY
納品名	FBA STA (2023/04/24 23:37)-KIX4
納品プラン番号	
納品先	KIX4
SKU 合計	40
商品合計数	94

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1Y-5L5D-QYMK	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, クマ2色セット)	B093G8VPJL	X000XK93NH	UPC: 703556069308	新品	不要	"--"	出品者	4
22-BGZI-G4D5	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	1
3T-Y9S7-7048	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	4
4O-JFNX-RKMV	[Smart-Bear] W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (L, 男)	B07RRL7Q84	X000RLHM0N	UPC: 703556063085	新品	不要	"--"	出品者	2
53-C8NZ-UF4D	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	B0786KYY7Y	X000WRDOQ3	--	新品	不要	"--"	出品者	3
5E-IANH-I1KD	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_16_point_0_centimeters)	B089WGVVVS	X000UXVO61	UPC: 703556068141	新品	不要	"--"	出品者	1
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	1
8I-RTUV-OM87	[Smart-Bear] W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, M:13?15cm(3-4歳))	B09QHX365G	X000ZT0CEZ	UPC: 703556070137	新品	不要	"--"	出品者	1
8Q-579N-RMNK	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ピンク)	B07C76HLX1	X000YPEK2Z	UPC: 706352696440	新品	不要	"--"	出品者	1
8Q-VTYS-YQ5Z	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	4
