納品番号	FBA15DKD6W9S
納品名	FBA STA (2023/09/14 00:11)-KIX4
納品プラン番号	
納品先	KIX4
SKU 合計	27
商品合計数	56

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1M-UAV8-BEOV	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, ウサギ柄)	B09NJBRDCD	X000ZJ43ZJ	UPC: 703556069759	新品	不要	"--"	出品者	1
1W-OT81-6YJZ	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, キリン柄)	B09NHN1572	X000ZJ43YP	UPC: 703556069810	新品	不要	"--"	出品者	1
3T-Y9S7-7048	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	2
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	2
8Q-579N-RMNK	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ピンク)	B07C76HLX1	X000YPEK2Z	UPC: 706352696440	新品	不要	"--"	出品者	6
8Q-VTYS-YQ5Z	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	5
91-6HG1-LVP0	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_22_point_5_centimeters)	B09838NFL3	X000Y3RL19	UPC: 703556069582	新品	不要	"--"	出品者	1
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	6
BE-B6BI-INN8	[Smart-Bear] W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男の子 スポーツ 5足セット (L)	B07RTLC13X	X000RLFVU1	UPC: 703556062842	新品	不要	"--"	出品者	1
C8-VY3A-HL06	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	4
EC-FOVX-FOBJ	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット(バラ)	B07C76HMBS	X000YPFQBT	UPC: 706352696419	新品	不要	"--"	出品者	1
FN-VIR3-GDHQ	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	1
HM-5URZ-2K38	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (パープル)	B07C7KGKBH	X000YPEORV	UPC: 706352696457	新品	不要	"--"	出品者	3
IZ-KJI2-9ICQ	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_15_point_5_centimeters)	B09838BD2Z	X000Y3RKZ1	UPC: 703556069537	新品	不要	"--"	出品者	1
LR-3KLG-FCBD	[Smart-KM] S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)	B09P8V2ZC7	X000ZN6XDP	UPC: 703556070113	新品	不要	"--"	出品者	3
LV-LGP7-RH5F	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)	B07RQ5TWY8	X000RJ3N2B	UPC: 703556062330	新品	不要	"--"	出品者	1
LW-8PD5-8DC1	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, ピンク)	B07RS9PZVZ	X000RKI7FX	UPC: 703556062354	新品	不要	"--"	出品者	1
M9-RIG5-DRKF	[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	B07SV1BD6S	X000RU9VA3	UPC: 703556063627	新品	不要	"--"	出品者	1
MD-TJTP-5QQW	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ブルー)	B07RN4L7SQ	X000RKHTKH	UPC: 703556062378	新品	不要	"--"	出品者	1
NO-T7XI-7XIR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_20_point_0_centimeters)	B089Y5T5HG	X000UXXDLF	UPC: 703556068554	新品	不要	"--"	出品者	1
NR-5Z4P-2YBS	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	3
OC-VF51-U7VG	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, L)	B0782TSXGW	X000WRECMD	--	新品	不要	"--"	出品者	1
T4-YR3Z-ZGYO	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_21_point_0_centimeters)	B089YK77LM	X000UXXDIN	UPC: 703556068608	新品	不要	"--"	出品者	1
T8-FSOJ-B0V1	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (レッド)	B07C7PVL42	X000YPFNUN	UPC: 706352696464	新品	不要	"--"	出品者	4
U0-2W5T-JP0A	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XL)	B077VT3Z3N	X000RMFHMH	UPC: 680577732766	新品	不要	"--"	出品者	2
U2-MUDQ-N4ZK	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B0782TQTTP	X000WRDPO9	UPC: 680577733558	新品	不要	"--"	出品者	1
VA-NOZU-9KO4	[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (グリーン, XXXL)	B0BY715356	X0013H4DXT	UPC: 703556071349	新品	不要	"--"	出品者	1
