納品番号	FBA15DL0DY9K
納品名	FBA STA (2023/10/04 06:34)-QCB3
納品プラン番号	
納品先	QCB3
SKU 合計	38
商品合計数	103

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
0W-RCOB-4NRD	[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー恐竜, L)	B0B1VM8X4N	X0010V05XF	UPC: 703556070397	新品	不要	"--"	出品者	1
39-62ZM-5VA7	[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, M)	B0B1VR91S8	X0010V0F5D	UPC: 703556070434	新品	不要	"--"	出品者	2
3T-Y9S7-7048	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	6
4E-8JAQ-UHTH	[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (XXXL)	B0B4NVH234	X0011523SF	UPC: 703556070526	新品	不要	"--"	出品者	1
4M-R6F0-TJRC	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, キリン柄)	B09NHNK4KV	X000ZJ3JEF	UPC: 703556069858	新品	不要	"--"	出品者	1
70-ZTNW-C5FQ	[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, イエロー)	B07SSJJQY6	X000RRFKJR	UPC: 703556063474	新品	不要	"--"	出品者	2
7L-VIH8-AFE4	[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (L)	B0B3LRNJ4C	X001115Y1R	UPC: 703556070496	新品	不要	"--"	出品者	1
7V-TX8I-6JT1	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (140cm, キリン柄)	B09NHMC9QZ	X000ZJ41KB	UPC: 703556069841	新品	不要	"--"	出品者	1
8Q-VTYS-YQ5Z	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	7
91-6HG1-LVP0	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_22_point_5_centimeters)	B09838NFL3	X000Y3RL19	UPC: 703556069582	新品	不要	"--"	出品者	2
91-7A3K-7U8I	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	6
