seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
22-BGZI-G4D5	X000WRDOQN	B0782YMNPM	NewItem	SELLABLE	2
0D-X76G-A4UZ	X0010V026Z	B0B1VKTV1B	NewItem	SELLABLE	2
05-4OEC-0YHD	X000YSTUSV	B07X135BNL	NewItem	SELLABLE	0
2G-4M7E-CPTT	X000TC4Q81	B0829SLDXV	NewItem	SELLABLE	2
3N-Y4NV-OZB5	X000UXVO4X	B089WHDBNT	NewItem	SELLABLE	3
1R-KND6-P8AN	X000UNOR2T	B088D7Y6DL	NewItem	SELLABLE	3
38-MPSA-WEAS	X000UKO8T9	B087T5M36D	NewItem	SELLABLE	3
3E-7YQ1-03MB	X000UNOR33	B088D9V5TK	NewItem	SELLABLE	0
2C-OMB5-LWES	X000TC4Q7H	B0829RCZH4	NewItem	SELLABLE	1
11-IPOK-0BRZ	X000THZTCX	B0829SQV45	NewItem	SELLABLE	0
3L-RK1W-49AD	X000UKBPB3	B087RRSLPK	NewItem	SELLABLE	0
01-ESOX-AV8Q	X000XKMSON	B093JZ2JB9	NewItem	SELLABLE	3
1U-MHG7-SMP4	X000YSI95L	B07C2PDBSK	NewItem	SELLABLE	0
22-9KDS-HIZ1	X000RLC7VR	B07RQ4M7ZG	NewItem	SELLABLE	5
1X-5JSB-3MML	X000TI5Q6B	B0829T96PP	NewItem	SELLABLE	0
1A-NZX0-PYW2	X000RJJQ4Z	B07RP5SL37	NewItem	SELLABLE	5
1F-KD47-PJGB	X000TCA8AB	B0829SV8S2	NewItem	SELLABLE	0
47-P9CG-5ZX5	X000ZT0155	B09QHVNT46	NewItem	SELLABLE	4
3T-Y9S7-7048	X000RJN7VX	B07RNDP5VC	NewItem	SELLABLE	13
26-OT38-71JD	X000TI0EVD	B0829RCZH4	NewItem	SELLABLE	0
3K-DZAP-W9MW	X000YQD91R	B07BVKJYVT	NewItem	SELLABLE	0
1M-UIA7-WLFP	X000RJ3N3P	B07RP5Y4R4	NewItem	SELLABLE	3
