"出荷日","出品者SKU","FNSKU","ASIN","FC","数量","Amazon注文番号","通貨","商品金額（商品1点ごと）","配送料","ギフト包装手数料","配送先（市区町村）","都道府県名","配送先（郵便番号）","付与されたAmazon ポイント"
"2022-10-28T22:57:46+09:00","K4-93OB-9REW","X000ZJ440X","B09N2PR4CB","NGO2","1","250-2340981-8731001","JPY","2580.00","0.00","0.00","","滋賀県","527-0071","26"
"2022-10-28T18:24:39+09:00","QU-WN46-REY2","X000RKL9N5","B07RRJ2MLN","KIX3","1","503-1923805-5110267","JPY","1580.00","0.00","0.00","","東京都","160-0023","16"
"2022-10-28T17:55:34+09:00","EO-0LNC-NHMG","X000ZJ41JR","B09NJD697S","FSZ1","1","250-2306914-9344604","JPY","2580.00","0.00","0.00","","大分県","870-0914","26"
"2022-10-28T17:24:16+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO1","1","503-9031940-5037453","JPY","565.00","136.00","0.00","","福島県","963-1165","0"
"2022-10-28T17:17:59+09:00","M9-CRQJ-1EUU","X000R151AL","B077VSVXYC","TYO2","1","250-9790492-8556618","JPY","1380.00","0.00","0.00","","大阪府","597-0102","0"
"2022-10-28T17:16:26+09:00","ML-8QBG-3WLZ","X000RJJ4E7","B077VVKF43","KIX5","1","250-7885875-7659005","JPY","1380.00","0.00","0.00","","愛知県","444-0113","0"
"2022-10-28T17:16:19+09:00","M9-CRQJ-1EUU","X000R151AL","B077VSVXYC","KIX5","1","250-0194175-6185439","JPY","1380.00","0.00","0.00","","愛知県","444-0113","0"
"2022-10-28T17:16:02+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-9172510-3144636","JPY","555.00","0.00","0.00","","高知県","780-0929","0"
"2022-10-28T17:14:58+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-0712113-2160603","JPY","555.00","0.00","0.00","","愛媛県","790-0963","0"
"2022-10-28T17:00:01+09:00","M5-KPD9-RB5V","X000RKID9X","B07RP581QF","KIX4","1","503-4395482-9293427","JPY","2380.00","0.00","0.00","","高知県","781-8002","0"
"2022-10-28T14:39:48+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO4","1","503-8154453-7534202","JPY","562.00","0.00","0.00","","茨城県","310-0844","0"
"2022-10-28T11:08:26+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","249-0289529-7334224","JPY","718.00","0.00","0.00","","東京都","170-0002","7"
"2022-10-28T11:07:48+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-0985086-1024660","JPY","565.00","0.00","0.00","","東京都","114-0032","0"
"2022-10-28T06:09:04+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-1156059-9887855","JPY","555.00","0.00","0.00","","東京都","160-0022","0"
"2022-10-28T06:07:21+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-9378914-5819012","JPY","565.00","0.00","0.00","","群馬県","370-0535","0"
"2022-10-28T06:07:04+09:00","CB-0QZI-OQCR","X000R1AUDJ","B07RRCXLD1","KIX4","1","250-5962540-7295821","JPY","1980.00","0.00","0.00","","大阪府","591-8044","20"
"2022-10-28T06:06:49+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","KIX4","1","249-3120196-3563814","JPY","1380.00","0.00","0.00","","京都府","611-0021","14"
"2022-10-28T06:01:49+09:00","NR-5Z4P-2YBS","X000RJN8F3","B07RNDMDMY","NRT5","1","503-8969328-5527868","JPY","1380.00","0.00","0.00","","神奈川県","251-0871","14"
"2022-10-28T05:09:10+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","TYO2","1","503-4382729-1247023","JPY","785.00","0.00","0.00","","東京都","166-0003","0"
"2022-10-28T02:06:48+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT1","1","250-0120409-9142265","JPY","718.00","0.00","0.00","","福島県","972-8321","7"
"2022-10-28T01:39:19+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","FSZ1","1","249-1620295-8336607","JPY","718.00","0.00","0.00","","愛知県","446-0007","7"
"2022-10-28T01:04:56+09:00","T8-FSOJ-B0V1","X000YPFNUN","B07C7PVL42","KIX1","1","250-0173688-6438268","JPY","718.00","0.00","0.00","","神奈川県","243-0806","7"
"2022-10-28T00:16:01+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","TYO2","1","250-4448100-5916647","JPY","1380.00","0.00","0.00","","茨城県","304-0035","14"
"2022-10-27T23:24:20+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","503-7705623-2602209","JPY","718.00","0.00","0.00","","東京都","157-0061","7"
"2022-10-27T23:15:47+09:00","EC-FOVX-FOBJ","X000YPFQBT","B07C76HMBS","NRT5","1","249-2719799-5734264","JPY","718.00","0.00","0.00","","岐阜県","502-0002","0"
"2022-10-27T23:11:00+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-1107968-8011049","JPY","565.00","0.00","0.00","","埼玉県","345-0036","0"
"2022-10-27T18:14:59+09:00","HM-5URZ-2K38","X000YPEORV","B07C7KGKBH","KIX3","1","250-8071537-9784668","JPY","718.00","0.00","0.00","","福岡県","807-0876","7"
"2022-10-27T18:13:54+09:00","JW-V3Y7-VVWA","X000UMZPWB","B0888BTMJQ","NRT5","1","503-6656593-6626268","JPY","1380.00","29.00","0.00","","佐賀県","840-0813","14"
"2022-10-27T18:00:32+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","NRT5","1","503-5793981-7825450","JPY","785.00","0.00","0.00","","山形県","990-0036","0"
