"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B077VVKF43","X000RJJ4E7","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, L)","FSZ1","JP","27.18","20.32","1.52","centimeters","0.2","kilograms","8.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.0779","Clothing","0.0","--","0.0"
"B07RNDP5VC","X000RJN7VX","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)","FSZ1","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.23","0.0","1.0E-4","2022-09","2818.0","JPY","0.3571","Clothing","0.0","--","0.07"
"B07RNDQ5S7","X000RMJ4KD","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","FSZ1","JP","21.6","8.8","4.6","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2022-09","2818.0","JPY","0.0811","Clothing","0.0","--","0.03"
"B07ZDDTWQ1","X000SYH9WF","【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (90cm, ブルー鹿)","FSZ1","JP","25.8","18.6","3.6","centimeters","0.28","kilograms","0.0017","cubic meters","Standard-Size","0.37","0.0","6.0E-4","2022-09","2818.0","JPY","1.7633","Clothing","0.0","--","0.0"
"B093JZ2JB9","X000XKMSON","【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, s)","FSZ1","JP","21.4","8.8","4.2","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","1.0","0.0","8.0E-4","2022-09","2818.0","JPY","2.2017","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","FSZ1","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.23","0.0","1.0E-4","2022-09","2818.0","JPY","0.1636","Clothing","0.0","--","0.13"
"B07C7JX67Y","X000YPFN7L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)","FSZ1","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2022-09","2818.0","JPY","0.1091","Clothing","0.0","--","0.0"
"B07C76HMBS","X000YPFQBT","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット(バラ)","FSZ1","JP","19.7","11.4","2.3","centimeters","0.05","kilograms","5.0E-4","cubic meters","Standard-Size","0.13","0.0","1.0E-4","2022-09","2818.0","JPY","0.1917","Clothing","0.0","--","0.0"
"B07S4K7DXF","X000YPFV3R","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレスチャージャー アップルウォッチ Apple iWatch シリーズ 4/3/2/1全対応 (白)","FSZ1","JP","11.18","7.87","1.78","centimeters","0.05","kilograms","2.0E-4","cubic meters","Standard-Size","4.0","0.0","6.0E-4","2022-09","4691.0","JPY","3.0","Others","0.0","--","0.0"
"B09P8V2ZC7","X000ZN6XDP","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)","FSZ1","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.0545","Clothing","0.0","--","0.0"
