"日付","出品者SKU","FNSKU","ASIN","商品名","コンディション","販売可能な在庫の合計","保管日数271-365日の販売可能な在庫数","保管日数365日以上の販売可能な在庫数","販売可能商品を削除","販売不可在庫の合計","7日間が経過した出荷不可在庫","8-60日間が経過した出荷不可在庫","61-90日間が経過した出荷不可在庫","121～180日が経過した販売可能な在庫数","181～270日が経過した販売可能な在庫数"
"2022-10-25T00:00:00+09:00","IU-YYJQ-NCR5","X000Y3RE9D","B09837WP97","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_18_point_0_centimeters)","新品","2","0","1","1","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","J5-L7JS-HX8H","X000XKQ46L","B093KC4M19","【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, x_l)","新品","4","0","4","4","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","01-ESOX-AV8Q","X000XKMSON","B093JZ2JB9","【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, s)","新品","3","0","3","3","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","JW-7LG8-28A1","X000XKMSOD","B093KN1JQR","【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, m)","新品","4","0","4","4","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","4H-Z807-Q82E","X000XKLW9Z","B093K5D4MD","【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, l)","新品","3","0","3","3","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","WD-OW75-PHRJ","X000UYL393","B08B1SB1DP","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_16_point_0_centimeters)","新品","2","0","2","2","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","K1-2G6E-3NBD","X000UYHHMP","B08B1RJPWV","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_17_point_0_centimeters)","新品","2","1","0","1","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","E3-46MA-X1C7","X000UXZN3B","B089YFH2HZ","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_17_point_0_centimeters)","新品","3","0","3","3","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","TU-NT1P-94U3","X000UXZMZ5","B089Y37ZLW","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_18_point_5_centimeters)","新品","3","0","1","1","0","0","0","0","0","2"
"2022-10-25T00:00:00+09:00","I6-UJFU-XBSO","X000UXZMY1","B089YBK6VH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_16_point_0_centimeters)","新品","2","0","2","2","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","6W-T59B-X4CS","X000UXZMXH","B089Y3K8VM","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_17_point_0_centimeters)","新品","1","1","0","1","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","MP-V48A-NX79","X000UXZDE5","B089XXZG2B","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_15_point_0_centimeters)","新品","2","0","2","2","0","0","0","0","0","0"
"2022-10-25T00:00:00+09:00","2T-ZO0G-08M7","X000UXXDKL","B089Y7WWQ5","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_20_point_0_centimeters)","新品","2","1","0","1","0","0","0","0","0","0"
