amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-2008474-0210220	249-2008474-0210220	2023-01-23T16:26:19+09:00	2023-01-23T16:26:23+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W601 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ 	JF-8TCP-BT89	B0BNGCXRN7	Unshipped	1	JPY	1780.0									神奈川県	242-0018	JP	
250-0125262-0952605	250-0125262-0952605	2023-01-23T15:49:20+09:00	2023-01-23T15:49:25+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	M5-KPD9-RB5V	B07RP581QF	Unshipped	1	JPY	2380.0									東京都	104-0053	JP	購入割引 2019/08/30 7-48-17-928
250-0125262-0952605	250-0125262-0952605	2023-01-23T15:49:20+09:00	2023-01-23T15:49:25+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の 	L7-WXI9-AW9P	B07RP6Q7SK	Unshipped	1	JPY	2380.0									東京都	104-0053	JP	購入割引 2019/08/30 7-48-17-928
249-6584521-2717457	249-6584521-2717457	2023-01-23T15:27:44+09:00	2023-01-23T15:27:48+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	Z1-3OLT-QHNT	B089Y1Z47W	Unshipped	1	JPY	2580.0									奈良県	630-0229	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-6710643-4828613	250-6710643-4828613	2023-01-23T14:54:51+09:00	2023-01-23T14:54:55+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	QU-WN46-REY2	B07RRJ2MLN	Unshipped	1	JPY	1580.0									東京都	143-0023	JP	
250-8052680-8644611	250-8052680-8644611	2023-01-23T13:58:27+09:00	2023-01-23T13:58:31+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊	MZ-Z063-LUOE	B07RR92VY8	Unshipped	1	JPY	2180.0									東京都	144-0051	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-2007720-1670245	249-2007720-1670245	2023-01-23T13:46:50+09:00	2023-01-23T13:46:57+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の 	LU-ZKNB-TZVQ	B07RN46T9J	Unshipped	1	JPY	2380.0									大阪府	581-0036	JP	
249-6071897-6729465	249-6071897-6729465	2023-01-23T13:39:30+09:00	2023-01-23T13:39:34+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	SN-NFFV-BYW0	B089WHXT1Z	Unshipped	1	JPY	2780.0									千葉県	277-0855	JP	
250-5011665-6843813	250-5011665-6843813	2023-01-23T13:05:30+09:00	2023-01-23T13:05:34+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Unshipped	1	JPY	1380.0									大阪府	571-0051	JP	
249-4568277-7020621	249-4568277-7020621	2023-01-23T11:56:25+09:00	2023-01-23T11:59:53+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M	Unshipped	1	JPY	718.0									東京都	164-0002	JP	
503-1209410-9400615	503-1209410-9400615	2023-01-23T11:48:25+09:00	2023-01-23T11:48:33+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M	Unshipped	1	JPY	718.0									神奈川県	216-0006	JP	
503-9725064-5299027	503-9725064-5299027	2023-01-23T09:24:29+09:00	2023-01-23T09:24:33+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Unshipped	1	JPY	1580.0									東京都	154-0011	JP	
503-1770869-5203855	503-1770869-5203855	2023-01-23T08:46:38+09:00	2023-01-23T09:12:43+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-KM] S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セッ 	LR-3KLG-FCBD	B09P8V2ZC7	Unshipped	1	JPY	908.0									山梨県	400-0306	JP	
250-2695694-6263044	250-2695694-6263044	2023-01-23T08:19:57+09:00	2023-01-23T15:09:08+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W602 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ 	R2-YCF8-Z5J4	B0BNGDD8RW	Shipped	1	JPY	1780.0	162.0								香川県	762-0086	JP	
250-6310399-9835810		2023-01-22T23:53:01+09:00	2023-01-23T13:11:49+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	Shipped	1	JPY	1280.0	116.0								Tokyo-to	165-0034	JP	
249-1207434-2095041	249-1207434-2095041	2023-01-22T23:43:44+09:00	2023-01-23T17:14:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W602 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ 	R2-YCF8-Z5J4	B0BNGDD8RW	Shipped	1	JPY	1780.0	162.0								大阪府	540-0017	JP	
